edwin_code	lat_usgs	lon_usgs	usgs_drain_area_km2
1	39.0461111000000000	-94.7894444000000000	155360.4367783500000000
2	38.9833375000000000	-94.9646893000000000	154767.3295011600000000
3	38.9732777800000000	-95.2321111000000000	151514.3044350000000000
4	39.0511115700000000	-95.3863633000000000	151410.7049106000000000
5	39.0666666000000000	-95.6497028000000000	146904.1255992000000000
6	39.0719443500000000	-95.7163715000000000	146816.0660034600000000
7	39.1930526500000000	-96.1474945000000000	144702.6357057000000000
8	39.1983301400000000	-96.3055532000000000	143174.5427208000000000
9	39.0616645700000000	-96.7663963000000000	116212.7664957000000000
10	37.2744055600000000	-97.1622639000000000	113444.0692061100000000
11	37.0375083000000000	-97.0392194000000000	113216.1502524300000000
12	37.4755027800000000	-97.2612722000000000	105852.8140557000000000
13	37.5441845700000000	-97.2755999000000000	105749.2145313000000000
14	37.6433484900000000	-97.3353227000000000	104868.6185739000000000
15	37.7161242000000000	-97.4022677000000000	104868.6185739000000000
16	37.7814010900000000	-97.3897665000000000	101294.4349821000000000
17	37.8425117900000000	-97.5192112000000000	101139.0356955000000000
18	37.9464002800000000	-97.7750488000000000	100776.4373601000000000
19	38.1450113000000000	-98.1111690000000000	93278.4217816500000000
20	38.3530678700000000	-98.7642519000000000	88981.6315071600000000
21	38.2036248400000000	-99.0023198000000000	88064.7757162200000000
22	37.9277943400000000	-99.3742817000000000	85640.5468452600000000
23	37.9558565000000000	-100.8773844000000000	70113.5681258100000000
24	37.9697442000000000	-101.1287794000000000	69836.4393980400000000
25	37.9300150000000000	-101.5493371000000000	67412.2105270800000000
26	37.9661241000000000	-101.7568387000000000	66725.8636779300000000
27	38.0275129000000000	-102.0115706000000000	65811.5978751000000000
28	39.0427758000000000	-96.8294533000000000	64490.7039390000000000
29	39.3555515000000000	-97.1275203000000000	63563.4881956200000000
30	39.7987300000000000	-97.7931266000000000	61020.1198716000000000
31	39.5886134000000000	-97.6583730000000000	61020.1198716000000000
32	39.9925130000000000	-97.9325430000000000	58018.3236521100000000
33	38.9063890600000000	-97.1177952000000000	49883.1709986000000000
34	38.8638900900000000	-97.4833639000000000	30380.5605303000000000
35	37.0266949900000000	-99.4795615000000000	28800.6677832000000000
36	39.2372186000000000	-96.5713918000000000	24967.4853804000000000
37	37.0111372000000000	-100.4918171000000000	21978.6391014600000000
38	38.7111152000000000	-97.5717015000000000	21603.0908255100000000
39	38.5638065900000000	-97.6664947000000000	21004.8035721000000000
40	38.6113967900000000	-97.9528260000000000	20349.5365802700000000
41	38.7266758900000000	-98.2336684000000000	19632.1098738000000000
42	38.7939001400000000	-98.7811920000000000	18324.1658782500000000
43	38.7766781000000000	-98.8548066000000000	18039.2671861500000000
44	38.9691663000000000	-97.4772513000000000	17534.2195047000000000
45	39.1200277800000000	-97.7112889000000000	15695.3279466000000000
46	38.7147345000000000	-99.1537086000000000	15625.3982676300000000
47	38.7122347500000000	-99.2923250000000000	15047.8309191000000000
48	38.7116792700000000	-99.3470492000000000	14918.3315136000000000
49	39.4545095700000000	-98.1098985000000000	14089.5353184000000000
50	39.4738987000000000	-98.2836658000000000	13830.5365074000000000
51	38.8077898000000000	-100.0226243000000000	13519.7379342000000000
52	37.3400586600000000	-95.1099687000000000	12703.8916795500000000
53	39.8419463000000000	-96.6622425000000000	12372.3732014700000000
54	37.9222577800000000	-95.4277596000000000	9642.5257335300000000
55	38.7947354000000000	-100.8584796000000000	9207.4077310500000000
56	39.7258351800000000	-96.8047432000000000	8679.0501566100000000
57	37.0053578000000000	-95.5927549000000000	8655.7402636200000000
58	38.2186367000000000	-94.6130113000000000	8417.4613575000000000
59	38.1944667800000000	-95.7352640000000000	7878.7438306200000000
60	37.1219674600000000	-101.8979456000000000	7508.3755308900000000
61	37.2236801400000000	-95.6777573000000000	7490.2456141200000000
62	39.0038923000000000	-97.8739316000000000	7303.7664702000000000
63	38.3680712000000000	-96.0002687000000000	7130.2372668300000000
64	39.9802777800000000	-97.0047222000000000	7127.6472787200000000
65	38.3452985800000000	-94.7724591000000000	6912.6782655900000000
66	39.0286174000000000	-98.1511636000000000	6604.4696805000000000
67	37.0236757000000000	-94.7210595000000000	6340.2908932800000000
68	39.5550107900000000	-98.6922942000000000	5995.8224746500000000
69	38.2075145000000000	-99.4062247000000000	5563.2944602800000000
70	37.4569636000000000	-97.4239353000000000	5514.0846861900000000
71	39.4277882600000000	-98.6942395000000000	5211.0560773200000000
72	38.9747332000000000	-98.4903429000000000	4965.0072068700000000
73	38.3761263000000000	-96.0677706000000000	4952.0572663200000000
74	37.2239155700000000	-96.9961475000000000	4869.1776468000000000
75	39.6719382700000000	-102.0135164000000000	4817.3778846000000000
76	38.3851111000000000	-96.1814167000000000	4747.4482056300000000
77	38.3975139000000000	-96.3561120000000000	4506.5793114000000000
78	39.9850055700000000	-100.5601480000000000	4351.1800248000000000
79	38.4616794800000000	-99.0148170000000000	4190.6007619800000000
80	38.9658447900000000	-98.8545276000000000	3890.1621412200000000
81	39.4397325000000000	-99.1017567000000000	3890.1621412200000000
82	38.4477895700000000	-98.7570282000000000	3884.9821650000000000
83	38.4189008700000000	-98.7650845000000000	3884.9821650000000000
84	40.0016726000000000	-99.9929055000000000	3853.9023076800000000
85	39.8480578500000000	-100.9615446000000000	3654.4732232100000000
86	39.6600106000000000	-99.1156440000000000	3540.5137463700000000
87	37.8322342500000000	-97.3889317000000000	3436.9142219700000000
88	37.8390647600000000	-97.4097179000000000	3436.9142219700000000
89	38.3874085400000000	-96.5972666000000000	3436.9142219700000000
90	38.4772361400000000	-99.4381656000000000	3253.0250661600000000
91	38.6180666900000000	-95.2683071000000000	3237.4851375000000000
92	37.8830673900000000	-97.4244864000000000	3208.9952682900000000
93	38.2293287000000000	-98.4179046000000000	3022.5161243700000000
94	37.0325280000000000	-100.2112531000000000	2996.6162432700000000
95	39.4096701500000000	-99.4160333000000000	2978.4863265000000000
96	39.0750001700000000	-95.4038634000000000	2955.1764335100000000
97	37.5297764000000000	-95.6747030000000000	2833.4469923400000000
98	38.2066829000000000	-99.6434539000000000	2825.6770280100000000
99	39.8130606000000000	-100.5343122000000000	2812.7270874600000000
100	38.0936248000000000	-98.5461894000000000	2711.7175511700000000
101	39.3766745600000000	-99.5801096000000000	2693.5876344000000000
102	38.5841777000000000	-95.4535902000000000	2693.5876344000000000
103	38.4647368700000000	-99.6226162000000000	2654.7378127500000000
104	39.9787043000000000	-99.4786584000000000	2608.1180267700000000
105	37.0389154700000000	-98.4709092000000000	2338.7592633300000000
106	37.7214009700000000	-97.7944956000000000	2333.5792871100000000
107	39.6730652000000000	-99.3095409000000000	2198.8999053900000000
