edwin_code	lat	lon
1	39.9477773000000000	-96.1086149000000000
2	39.6719382700000000	-102.0135164000000000
3	39.6769484800000000	-100.7220930000000000
4	39.8130606000000000	-100.5343122000000000
5	40.0016726000000000	-99.9929055000000000
6	39.8480578500000000	-100.9615446000000000
7	39.9850055700000000	-100.5601480000000000
8	39.7697270000000000	-100.1006875000000000
9	39.8100054800000000	-99.9220683000000000
10	39.9787043000000000	-99.4786584000000000
11	39.9925130000000000	-97.9325430000000000
12	39.8991800000000000	-98.2503276000000000
13	39.8841786600000000	-98.0225448000000000
14	39.7987300000000000	-97.7931266000000000
15	39.5927861000000000	-97.7814778000000000
16	39.5886134000000000	-97.6583730000000000
17	39.3555515000000000	-97.1275203000000000
18	39.0427758000000000	-96.8294533000000000
19	38.7947354000000000	-100.8584796000000000
20	38.8408446500000000	-100.0587368000000000
21	38.8077898000000000	-100.0226243000000000
22	38.7116792700000000	-99.3470492000000000
23	38.7122347500000000	-99.2923250000000000
24	38.7147345000000000	-99.1537086000000000
25	38.9233333000000000	-99.6508333000000000
26	38.8522340000000000	-99.3181589000000000
27	38.7766781000000000	-98.8548066000000000
28	38.7939001400000000	-98.7811920000000000
29	38.7266758900000000	-98.2336684000000000
30	38.6113967900000000	-97.9528260000000000
31	38.5638065900000000	-97.6664947000000000
32	38.7111152000000000	-97.5717015000000000
33	39.1061185000000000	-99.8701212000000000
34	38.9658447900000000	-98.8545276000000000
35	39.0591916700000000	-98.8422917000000000
36	38.9747332000000000	-98.4903429000000000
37	39.0286174000000000	-98.1511636000000000
38	39.0038923000000000	-97.8739316000000000
39	38.8444476000000000	-97.6683699000000000
40	38.8638900900000000	-97.4833639000000000
41	38.6272638900000000	-97.4275583000000000
42	39.6730652000000000	-99.3095409000000000
43	39.5594542000000000	-99.2859298000000000
44	39.6600106000000000	-99.1156440000000000
45	39.5550107900000000	-98.6922942000000000
46	39.3766745600000000	-99.5801096000000000
47	39.4096701500000000	-99.4160333000000000
48	39.4397325000000000	-99.1017567000000000
49	39.4277882600000000	-98.6942395000000000
50	39.4738987000000000	-98.2836658000000000
51	39.4545095700000000	-98.1098985000000000
52	39.1200277800000000	-97.7112889000000000
53	39.1391687600000000	-97.8369849000000000
54	38.9691663000000000	-97.4772513000000000
55	38.9063890600000000	-97.1177952000000000
56	39.0311090000000000	-97.0402922000000000
57	38.9491666700000000	-96.8580556000000000
58	39.0616645700000000	-96.7663963000000000
59	39.1020750000000000	-96.5946889000000000
60	39.1883888900000000	-96.6425556000000000
61	39.8419463000000000	-96.6622425000000000
62	39.9802777800000000	-97.0047222000000000
63	39.8136147600000000	-97.0375267000000000
64	39.7258351800000000	-96.8047432000000000
65	39.6819434900000000	-96.4427888000000000
66	39.4722206400000000	-96.8322357000000000
67	39.3096111000000000	-96.7415556000000000
68	39.2372186000000000	-96.5713918000000000
69	39.1983301400000000	-96.3055532000000000
70	39.3477738600000000	-96.2174979000000000
71	39.2491628600000000	-96.3149982000000000
72	39.1930526500000000	-96.1474945000000000
73	39.0647210600000000	-96.1691605000000000
74	39.0566668000000000	-95.7722064000000000
75	39.0719443500000000	-95.7163715000000000
76	39.0666666000000000	-95.6497028000000000
77	39.5658287000000000	-95.9627710000000000
78	39.4631449000000000	-95.9505944000000000
79	39.4341666700000000	-95.9422222000000000
